"label"	"H1hESC.expr"	"HepG2.expr"	"K562.expr"	"MCF7.expr"	"SKNSH_RA.expr"	"A549.expr"	"GM12878.expr"	"IMR90.expr"	"SKNSH.expr"	"AG04450.expr"	"BJ.expr"	"HUVEC.expr"	"HeLaS3.expr"	"NHEK.expr"	"NHLF.expr"	"H1hESC.peakCount"	"HepG2.peakCount"	"K562.peakCount"	"MCF7.peakCount"	"SKNSH_RA.peakCount"	"A549.peakCount"	"GM12878.peakCount"	"IMR90.peakCount"	"SKNSH.peakCount"	"AG04450.peakCount"	"BJ.peakCount"	"HUVEC.peakCount"	"HeLaS3.peakCount"	"NHEK.peakCount"	"NHLF.peakCount"	"H1hESC.foldChange"	"HepG2.foldChange"	"K562.foldChange"	"MCF7.foldChange"	"SKNSH_RA.foldChange"	"A549.foldChange"	"GM12878.foldChange"	"IMR90.foldChange"	"SKNSH.foldChange"	"AG04450.foldChange"	"BJ.foldChange"	"HUVEC.foldChange"	"HeLaS3.foldChange"	"NHEK.foldChange"	"NHLF.foldChange"	"peakCountSumRaw"	"peakCountSum"	"exprCount"	"PSIave"	"FoldChangeave"	"FoldChangeaveGroup"	"FoldChangeVar"	"PSIVar"	"peakFracExpr"	"peakFracExprGroup"	"pearsonCorr"	"pearsonCorrPvalue"	"wilcoxCorrPvalue"	"alpha"	"M"	"j"
"14044"	"chr11:3427729-3428927_+"	1	NA	0.82083	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	78.23573	0	0	0	0	0	0	0	0	0	0	47.55297	0	2	1	4	0.9552075	19.5589325	"(15,20]"	1530.20736215823	0.00802547222500001	0.25	"(0.2,0.267]"	-1	0	NA	0.05	7251	15
"14045"	"chr11:3428852-3428927_+"	1	NA	0.8114	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	78.23573	0	0	0	0	0	0	0	0	0	0	47.55297	0	2	1	4	0.95285	19.5589325	"(15,20]"	1530.20736215823	0.00889249	0.25	"(0.2,0.267]"	-1	0	NA	0.05	7251	16
"43773"	"chr14:24046284-24046833_-"	0.92405	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	41.41751	0	0	0	0	0	21.74855	6.61295	0	0	5.70023	21.39535	0	36.29388	0	6	1	3	0.974683333333333	13.8058366666667	"(10,15]"	571.803378200033	0.00192280083333333	0.333333333333333	"(0.267,0.333]"	-1	0	NA	0.05	7251	17
"45603"	"chr14:51467401-51467558_-"	1	NA	NA	NA	1	0.92573	NA	NA	1	NA	NA	NA	NA	NA	NA	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	30.52165	0	10.0773	0	7.90917	12.76635	0	0	0	0	0	0	0	0	4	1	4	0.9814325	1.9772925	"(0,5]"	15.638742522225	0.001379008225	0.25	"(0.2,0.267]"	-1	0	NA	0.05	7251	18
"49155"	"chr15:101833230-101833377_-"	1	1	1	1	1	1	0.98841	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.19731	0	0	0	0	0	0	0	0	1	1	15	0.999227333333333	1.54648733333333	"(0,5]"	35.8743460824067	8.95520666666665e-06	0.0666666666666667	NA	-1	0	NA	0.05	7251	19
"60463"	"chr16:23436070-23436268_-"	0.9351	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	0.995673333333333	0.450966666666667	"(0,5]"	3.05056401666667	0.000280800666666666	0.0666666666666667	NA	-1	0	NA	0.05	7251	20
"65261"	"chr16:67165189-67165232_+"	1	0.97647	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.58554	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	0.998431333333333	0.505702666666667	"(0,5]"	3.83602780610667	3.69107266666668e-05	0.0666666666666667	NA	-1	0	NA	0.05	7251	21
"83734"	"chr17:79914526-79914626_-"	1	0.99662	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25689	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0.999155	1.3142225	"(0,5]"	6.908723118025	2.85610000000008e-06	0.25	"(0.2,0.267]"	-1	0	NA	0.05	7251	22
"86720"	"chr18:56054671-56054730_+"	1	0.06565	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.51805	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	0.93771	0.36787	"(0,5]"	2.0299250535	0.0582006615	0.0666666666666667	NA	-1	0	NA	0.05	7251	23
"89058"	"chr19:1231100-1231274_-"	0.50476	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	7.72781	0	0	0	0	0	0	0	0	0	0	5.29946	0	7.25878	0	3	1	3	0.83492	2.57593666666667	"(0,5]"	19.9063491320333	0.0817542192	0.333333333333333	"(0.267,0.333]"	-1	0	NA	0.05	7251	24
"90650"	"chr19:16038022-16038149_-"	NA	0.61111	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.98533	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0.9027775	1.2463325	"(0,5]"	6.213378802225	0.037808858025	0.25	"(0.2,0.267]"	-1	0	NA	0.05	7251	25
"90651"	"chr19:16038240-16038293_-"	NA	0.55556	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.98533	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0.88889	1.2463325	"(0,5]"	6.213378802225	0.0493817284	0.25	"(0.2,0.267]"	-1	0	NA	0.05	7251	26
"90652"	"chr19:16038240-16038293_-"	NA	0.55556	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.98533	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0.88889	1.2463325	"(0,5]"	6.213378802225	0.0493817284	0.25	"(0.2,0.267]"	-1	0	NA	0.05	7251	27
"91077"	"chr19:17534307-17534426_+"	1	1	1	1	1	1	0.90179	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0363	0	0	0	0	0	0	0	0	1	1	15	0.993452666666667	0.469086666666667	"(0,5]"	3.30063451266667	0.000643013606666667	0.0666666666666667	NA	-1	0	NA	0.05	7251	28
"91078"	"chr19:17534307-17534426_+"	1	1	1	1	1	1	0.90179	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0363	0	0	0	0	0	0	0	0	1	1	15	0.993452666666667	0.469086666666667	"(0,5]"	3.30063451266667	0.000643013606666667	0.0666666666666667	NA	-1	0	NA	0.05	7251	29
"91079"	"chr19:17534307-17534426_+"	1	1	1	1	1	1	0.90179	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0363	0	0	0	0	0	0	0	0	1	1	15	0.993452666666667	0.469086666666667	"(0,5]"	3.30063451266667	0.000643013606666667	0.0666666666666667	NA	-1	0	NA	0.05	7251	30
"91080"	"chr19:17534502-17534608_+"	1	1	1	1	1	1	0.92642	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0363	0	0	0	0	0	0	0	0	1	1	15	0.995094666666667	0.469086666666667	"(0,5]"	3.30063451266667	0.000360934426666666	0.0666666666666667	NA	-1	0	NA	0.05	7251	31
"91081"	"chr19:17534502-17534608_+"	1	1	1	1	1	1	0.92642	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0363	0	0	0	0	0	0	0	0	1	1	15	0.995094666666667	0.469086666666667	"(0,5]"	3.30063451266667	0.000360934426666666	0.0666666666666667	NA	-1	0	NA	0.05	7251	32
"91082"	"chr19:17534502-17534608_+"	1	1	1	1	1	1	0.92642	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0363	0	0	0	0	0	0	0	0	1	1	15	0.995094666666667	0.469086666666667	"(0,5]"	3.30063451266667	0.000360934426666666	0.0666666666666667	NA	-1	0	NA	0.05	7251	33
"91314"	"chr19:18053465-18053654_+"	1	1	0.96998	1	1	1	1	1	1	1	1	1	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.39867	0	0	0	0	0	0	0	0	0	0	0	0	2	2	15	0.997998666666667	5.426578	"(5,10]"	441.71623185126	6.00800266666669e-05	0.0666666666666667	NA	-1	0	NA	0.05	7251	34
"91315"	"chr19:18053465-18053654_+"	1	1	0.96998	1	1	1	1	1	1	1	1	1	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.39867	0	0	0	0	0	0	0	0	0	0	0	0	2	2	15	0.997998666666667	5.426578	"(5,10]"	441.71623185126	6.00800266666669e-05	0.0666666666666667	NA	-1	0	NA	0.05	7251	35
"92101"	"chr19:19748968-19749138_-"	0.6699	NA	1	1	1	NA	1	1	1	1	1	1	NA	1	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.16489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	11	0.969990909090909	1.46953545454545	"(0,5]"	23.7548789738273	0.00990600090909091	0.0909090909090909	"(0.0667,0.133]"	-1	0	NA	0.05	7251	36
"92102"	"chr19:19748968-19749138_-"	0.6699	NA	1	1	1	NA	1	1	1	1	1	1	NA	1	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.16489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	11	0.969990909090909	1.46953545454545	"(0,5]"	23.7548789738273	0.00990600090909091	0.0909090909090909	"(0.0667,0.133]"	-1	0	NA	0.05	7251	37
"92103"	"chr19:19748968-19749138_-"	0.6699	NA	1	1	1	NA	1	1	1	1	1	1	NA	1	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.16489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	11	0.969990909090909	1.46953545454545	"(0,5]"	23.7548789738273	0.00990600090909091	0.0909090909090909	"(0.0667,0.133]"	-1	0	NA	0.05	7251	38
"93295"	"chr19:35757262-35757435_+"	1	1	0.96796	1	NA	NA	1	NA	NA	NA	NA	NA	1	1	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.20592	0	0	0	0	0	0	0	0	0	0	0	0	1	1	7	0.995422857142857	0.600845714285714	"(0,5]"	2.52710900662857	0.000146651657142857	0.142857142857143	"(0.133,0.2]"	-1	0	NA	0.05	7251	39
"93296"	"chr19:35757262-35757435_+"	1	1	0.96796	1	NA	NA	1	NA	NA	NA	NA	NA	1	1	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.20592	0	0	0	0	0	0	0	0	0	0	0	0	1	1	7	0.995422857142857	0.600845714285714	"(0,5]"	2.52710900662857	0.000146651657142857	0.142857142857143	"(0.133,0.2]"	-1	0	NA	0.05	7251	40
"93297"	"chr19:35757262-35757435_+"	1	1	0.96796	1	NA	NA	1	NA	NA	NA	NA	NA	1	1	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.20592	0	0	0	0	0	0	0	0	0	0	0	0	1	1	7	0.995422857142857	0.600845714285714	"(0,5]"	2.52710900662857	0.000146651657142857	0.142857142857143	"(0.133,0.2]"	-1	0	NA	0.05	7251	41
"93303"	"chr19:35757742-35757870_+"	1	1	0.88034	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.20592	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	0.976068	0.841184	"(0,5]"	3.53795260928	0.00286370312	0.2	"(0.133,0.2]"	-1	0	NA	0.05	7251	42
"93304"	"chr19:35757742-35757870_+"	1	1	0.88034	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.20592	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	0.976068	0.841184	"(0,5]"	3.53795260928	0.00286370312	0.2	"(0.133,0.2]"	-1	0	NA	0.05	7251	43
"93381"	"chr19:35989776-35989799_-"	0.99744	1	NA	1	NA	1	1	1	NA	NA	NA	NA	1	1	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.06114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	0.99968	1.1326425	"(0,5]"	10.26303226245	8.19200000000004e-07	0.125	"(0.0667,0.133]"	-1	0	NA	0.05	7251	44
"93382"	"chr19:35989776-35989799_-"	0.99744	1	NA	1	NA	1	1	1	NA	NA	NA	NA	1	1	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.06114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	0.99968	1.1326425	"(0,5]"	10.26303226245	8.19200000000004e-07	0.125	"(0.0667,0.133]"	-1	0	NA	0.05	7251	45
"98121"	"chr19:50042376-50042436_+"	0.7351	1	1	NA	1	NA	NA	1	1	1	1	1	NA	NA	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6.22953	0	0	0	0	14.6705	0	0	0	0	0	0	0	0	0	2	1	10	0.97351	0.622953	"(0,5]"	3.88070440209	0.007017201	0.1	"(0.0667,0.133]"	-1	0	NA	0.05	7251	46
"135562"	"chr22:19969456-19969614_-"	1	1	0.96327	NA	1	NA	NA	1	1	NA	NA	1	NA	1	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66122	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	0.99540875	0.8326525	"(0,5]"	5.54648148605	0.0001686366125	0.125	"(0.0667,0.133]"	-1	0	NA	0.05	7251	47
"135563"	"chr22:19969456-19969614_-"	1	1	0.96327	NA	1	NA	NA	1	1	NA	NA	1	NA	1	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66122	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	0.99540875	0.8326525	"(0,5]"	5.54648148605	0.0001686366125	0.125	"(0.0667,0.133]"	-1	0	NA	0.05	7251	48
"135696"	"chr22:20379473-20379591_+"	1	1	0.66316	1	1	NA	1	1	1	1	1	1	NA	1	NA	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.2903849143223	0	0	0	0	0	0	0	0	0	0	0	0	2	2	12	0.97193	2.69086540952686	"(0,5]"	86.8890798262578	0.0094550988	0.0833333333333333	"(0.0667,0.133]"	-1	0	NA	0.05	7251	49
"135697"	"chr22:20379473-20379591_+"	1	1	0.66316	1	1	NA	1	1	1	1	1	1	NA	1	NA	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.2903849143223	0	0	0	0	0	0	0	0	0	0	0	0	2	2	12	0.97193	2.69086540952686	"(0,5]"	86.8890798262578	0.0094550988	0.0833333333333333	"(0.0667,0.133]"	-1	0	NA	0.05	7251	50
"135699"	"chr22:20379803-20380063_+"	1	1	0.52239	NA	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.29038	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	0.920398333333333	5.38173	"(5,10]"	173.7781067574	0.0380185520166667	0.166666666666667	"(0.133,0.2]"	-1	0	NA	0.05	7251	51
"135700"	"chr22:20380023-20380063_+"	1	1	0.49606	NA	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.29038	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	0.91601	5.38173	"(5,10]"	173.7781067574	0.0423259206	0.166666666666667	"(0.133,0.2]"	-1	0	NA	0.05	7251	52
"136149"	"chr22:22049226-22049255_+"	1	NA	0.93637	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.53555	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0.9840925	1.3838875	"(0,5]"	7.660578450625	0.001012194225	0.25	"(0.2,0.267]"	-1	0	NA	0.05	7251	53
"139433"	"chr22:45309702-45309842_-"	0.83039	NA	NA	NA	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5.4116	0	0	0	0	0	0	0	0	0	0	0	0	6.55637	0	2	1	4	0.9575975	1.3529	"(0,5]"	7.32135364	0.007191888025	0.25	"(0.2,0.267]"	-1	0	NA	0.05	7251	54
"153629"	"chr2:37316783-37317009_+"	NA	NA	1	1	1	1	0.77953	1	1	1	1	NA	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1684	0	0	0	0	0	0	0	0	1	1	12	0.9816275	0.514033333333333	"(0,5]"	3.17076321333333	0.004050585075	0.0833333333333333	"(0.0667,0.133]"	-1	0	NA	0.05	7251	55
"153630"	"chr2:37316783-37317009_+"	NA	NA	1	1	1	1	0.77953	1	1	1	1	NA	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1684	0	0	0	0	0	0	0	0	1	1	12	0.9816275	0.514033333333333	"(0,5]"	3.17076321333333	0.004050585075	0.0833333333333333	"(0.0667,0.133]"	-1	0	NA	0.05	7251	56
"168850"	"chr3:49722695-49722815_-"	1	0.99515	NA	1	1	NA	1	1	1	NA	1	1	NA	1	NA	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6.47002	10.76346	0	0	0	0	0	0	0	0	0	0	0	0	2	1	10	0.999515	0.647002	"(0,5]"	4.18611588004	2.35225000000002e-06	0.1	"(0.0667,0.133]"	-1	0	NA	0.05	7251	57
"168851"	"chr3:49722695-49722815_-"	1	0.99515	NA	1	1	NA	1	1	1	NA	1	1	NA	1	NA	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6.47002	10.76346	0	0	0	0	0	0	0	0	0	0	0	0	2	1	10	0.999515	0.647002	"(0,5]"	4.18611588004	2.35225000000002e-06	0.1	"(0.0667,0.133]"	-1	0	NA	0.05	7251	58
"168852"	"chr3:49722695-49722815_-"	1	0.99515	NA	1	1	NA	1	1	1	NA	1	1	NA	1	NA	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6.47002	10.76346	0	0	0	0	0	0	0	0	0	0	0	0	2	1	10	0.999515	0.647002	"(0,5]"	4.18611588004	2.35225000000002e-06	0.1	"(0.0667,0.133]"	-1	0	NA	0.05	7251	59
"170199"	"chr3:52439781-52439928_-"	1	1	1	1	1	1	1	1	1	1	1	1	1	0.98148	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.1243	0	1	1	15	0.998765333333333	0.474953333333333	"(0,5]"	3.38371003266667	2.28660266666666e-05	0.0666666666666667	NA	-1	0	NA	0.05	7251	60
"170200"	"chr3:52439781-52439928_-"	1	1	1	1	1	1	1	1	1	1	1	1	1	0.98148	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.1243	0	1	1	15	0.998765333333333	0.474953333333333	"(0,5]"	3.38371003266667	2.28660266666666e-05	0.0666666666666667	NA	-1	0	NA	0.05	7251	61
"195716"	"chr6:31903700-31903838_+"	NA	0.98427	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.24425	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0.994756666666667	2.41475	"(0,5]"	17.4930526875	8.24776333333336e-05	0.333333333333333	"(0.267,0.333]"	-1	0	NA	0.05	7251	62
