size	dataType	view	cell	lab	geoSampleAccession	dccAccession	dataVersion	softwareVersion	type	md5sum	geoSampleAccesion	dateSubmitted	controlId	grant	dateResubmitted	origAssembly	treatment	replicate	antibody	control	setType	tableName	protocol	labExpId	localization	rnaExtract	strand	labVersion	labProtocolId	bioRep	project	composite	readType	dateUnrestricted	seqPlatform	spikeInPool	objStatus	subId	filename
2.5M	DnaseSeq	Peaks	GM19238	Duke	GSM816658	wgEncodeEH000566	ENCODE Jan 2011 Freeze	HotSpot	bigBed	237e2ab99ff667dd8422e677643c3882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseGM19238.fdr01peaks.hg19.bb
2.0M	DnaseSeq	Peaks	GM19239	Duke	GSM816659	wgEncodeEH000567	ENCODE Jan 2011 Freeze	HotSpot	bigBed	deda9ff0fea6136eac23ee8c92da2681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseGM19239.fdr01peaks.hg19.bb
2.8M	DnaseSeq	Peaks	GM19240	Duke	GSM816648	wgEncodeEH000568	ENCODE Jan 2011 Freeze	HotSpot	bigBed	ddd9e1b4c7890e02ff63dc2b63a34d19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseGM19240.fdr01peaks.hg19.bb
2.7M	DnaseSeq	Peaks	H9ES	Duke	GSM816629	wgEncodeEH000594	ENCODE Jan 2011 Freeze	HotSpot	bigBed	3b0756b6ce23ace8a3f9409839db0fa6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseH9ES.fdr01peaks.hg19.bb
1.9M	DnaseSeq	Peaks	HeLa-S3	Duke	GSM816633	NA	ENCODE Jan 2011 Freeze	HotSpot	bigBed	162b4deb4f29ff627c426ad61f4a594b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseHeLaS3IFNa4h.fdr01peaks.hg19.bb
2.6M	DnaseSeq	Peaks	Hepatocytes	Duke	GSM816663	wgEncodeEH001107	ENCODE Jan 2011 Freeze	HotSpot	bigBed	ba03c7ac0c5ee4bec20447b874ef05c6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseHepatocytes.fdr01peaks.hg19.bb
2.3M	DnaseSeq	Peaks	HPDE6-E6E7	Duke	GSM816639	wgEncodeEH001106	ENCODE Jan 2011 Freeze	HotSpot	bigBed	0b7067d589b4e471b7c1e22957580d89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseHPDE6E6E7.fdr01peaks.hg19.bb
2.1M	DnaseSeq	Peaks	HSMM_emb	Duke	GSM1008592	wgEncodeEH002550	ENCODE Jan 2011 Freeze	HotSpot	bigBed	97c845db9bb81dfa89eeaf2c0e206cc5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseHSMMemb.fdr01peaks.hg19.bb
2.1M	DnaseSeq	Peaks	HTR8svn	Duke	GSM816644	NA	ENCODE Jan 2011 Freeze	HotSpot	bigBed	08b819fb6b2da04dd910ceafc737b84a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseHTR8svn.fdr01peaks.hg19.bb
2.8M	DnaseSeq	Peaks	Huh-7.5	Duke	GSM1010780	NA	ENCODE Jan 2011 Freeze	HotSpot	bigBed	184ad7ceae09f06b82737b0a838697cb	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseHuh7.5.fdr01peaks.hg19.bb
2.5M	DnaseSeq	Peaks	Huh-7	Duke	GSM816641	NA	ENCODE Jan 2011 Freeze	HotSpot	bigBed	c240c58d06cb1ef9db8e6d888803cf0d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseHuh7.fdr01peaks.hg19.bb
3.0M	DnaseSeq	Peaks	iPS	Duke	GSM816642	wgEncodeEH001110	ENCODE Jan 2011 Freeze	HotSpot	bigBed	eb11c4fc11a3150aa16e21b3470c121b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseiPS.fdr01peaks.hg19.bb
2.5M	DnaseSeq	Peaks	Ishikawa	Duke	GSM1008593	wgEncodeEH002551	ENCODE Jan 2011 Freeze	HotSpot	bigBed	649d6cd9f7e51a7cc6914a50ae1a7332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseIshikawaEstradiol.fdr01peaks.hg19.bb
2.5M	DnaseSeq	Peaks	Ishikawa	Duke	GSM1008594	wgEncodeEH002552	ENCODE Jan 2011 Freeze	HotSpot	bigBed	df8166ad91fd0957864646fed61bf1b1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseIshikawaTamoxifen.fdr01peaks.hg19.bb
2.5M	DnaseSeq	Peaks	LNCaP	Duke	GSM816634	NA	ENCODE Jan 2011 Freeze	HotSpot	bigBed	69e40990044794d05ef826dc20fff598	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseLNCaPAndrogen.fdr01peaks.hg19.bb
2.5M	DnaseSeq	Peaks	MCF-7	Duke	NA	NA	ENCODE Jan 2011 Freeze	HotSpot	bigBed	83a70d55792b2c938ed08a19118cfcc6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseMCF7Hypoxia.fdr01peaks.hg19.bb
3.2M	DnaseSeq	Peaks	Medullo	Duke	GSM816636	wgEncodeEH000574	ENCODE Jan 2011 Freeze	HotSpot	bigBed	116e3820494d74312b828cf9918900a8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseMedullo.fdr01peaks.hg19.bb
3.8M	DnaseSeq	Peaks	Melano	Duke	GSM816631	wgEncodeEH000602	ENCODE Jan 2011 Freeze	HotSpot	bigBed	ed7f72a6e1584e2beb9c90908756412b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseMelano.fdr01peaks.hg19.bb
2.7M	DnaseSeq	Peaks	Myometr	Duke	GSM816630	wgEncodeEH000603	ENCODE Jan 2011 Freeze	HotSpot	bigBed	ccb68eaa93a9894865b174d973096fe0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseMyometr.fdr01peaks.hg19.bb
4.9M	DnaseSeq	Peaks	Osteobl	Duke	GSM816654	wgEncodeEH001098	ENCODE Jan 2011 Freeze	HotSpot	bigBed	8b8f254335264105e02695f8e20a0b86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseOsteobl.fdr01peaks.hg19.bb
3.1M	DnaseSeq	Peaks	PanIsletD	Duke	GSM816666	NA	ENCODE Jan 2011 Freeze	HotSpot	bigBed	470fb8c9215fdbe55e536c4dc6824f7f	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnasePanIsletD.fdr01peaks.hg19.bb
2.8M	DnaseSeq	Peaks	PanIslets	Duke	GSM816660	wgEncodeEH000575	ENCODE Jan 2011 Freeze	HotSpot	bigBed	000fe42f7bde77a73d5b224351f25322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnasePanIslets.fdr01peaks.hg19.bb
3.7M	DnaseSeq	Peaks	pHTE	Duke	GSM816647	wgEncodeEH001099	ENCODE Jan 2011 Freeze	HotSpot	bigBed	5d4d7fa89ec899bc2c0f09e571bffc00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnasepHTE.fdr01peaks.hg19.bb
3.1M	DnaseSeq	Peaks	ProgFib	Duke	GSM816661	wgEncodeEH000576	ENCODE Jan 2011 Freeze	HotSpot	bigBed	26fce349bb1793ed5430cc4651275058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseProgFib.fdr01peaks.hg19.bb
2.6M	DnaseSeq	Peaks	RWPE1	Duke	GSM1008595	wgEncodeEH002553	ENCODE Jan 2011 Freeze	HotSpot	bigBed	0f72929a01b9491f779c9ba85d4d56a4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseRWPE1.fdr01peaks.hg19.bb
2.7M	DnaseSeq	Peaks	Stellate	Duke	GSM816672	wgEncodeEH001108	ENCODE Jan 2011 Freeze	HotSpot	bigBed	1a05ec6e6bd786365a3f83442006dd23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseStellate.fdr01peaks.hg19.bb
2.5M	DnaseSeq	Peaks	T-47D	Duke	GSM816673	wgEncodeEH001109	ENCODE Jan 2011 Freeze	HotSpot	bigBed	dfa1a25c47435962b8474041b69b74b0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseT47D.fdr01peaks.hg19.bb
3.0M	DnaseSeq	Peaks	Th0	Duke	GSM1008572	NA	ENCODE Jan 2011 Freeze	HotSpot	bigBed	731449d1136f50c20f4a8b002a53ed60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseTh0.fdr01peaks.hg19.bb
2.5M	DnaseSeq	Peaks	Urothelia	Duke	GSM1008605	NA	ENCODE Jan 2011 Freeze	HotSpot	bigBed	d466ae35720d1ea65b51261c17c40638	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseUrothelia.fdr01peaks.hg19.bb
2.8M	DnaseSeq	Peaks	Urothelia	Duke	GSM1008606	NA	ENCODE Jan 2011 Freeze	HotSpot	bigBed	414dd33d8e9a602e4fb6c9f5ba0ce89b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseUrotheliaUT189.fdr01peaks.hg19.bb
2.7M	DnaseSeq	Peaks	AG04449	UW	GSM736562,GSM736590	wgEncodeEH000505	ENCODE Jan 2011 Freeze	HotSpot	bigBed	f8cf3888bd1597b50f9d66f1497bf8ca	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeUwDnaseAG04449.fdr01peaks.hg19.bb
2.5M	DnaseSeq	Peaks	AG04450	UW	GSM736514,GSM736563	wgEncodeEH000506	ENCODE Jan 2011 Freeze	HotSpot	bigBed	a421ad6eb7af85dff7287b470bf8580c	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeUwDnaseAG04450.fdr01peaks.hg19.bb
3.1M	DnaseSeq	Peaks	AG09309	UW	GSM736551,GSM736616	wgEncodeEH000507	ENCODE Jan 2011 Freeze	HotSpot	bigBed	63d93004f95ae12b9db715adf2ca5be8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeUwDnaseAG09309.fdr01peaks.hg19.bb
2.5M	DnaseSeq	Peaks	AG09319	UW	GSM736531,GSM736619	wgEncodeEH000508	ENCODE Jan 2011 Freeze	HotSpot	bigBed	2df4194a7bdfe2586a9d3949a030c6cc	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeUwDnaseAG09319.fdr01peaks.hg19.bb
2.8M	DnaseSeq	Peaks	AG10803	UW	GSM736598,GSM736633	wgEncodeEH000509	ENCODE Jan 2011 Freeze	HotSpot	bigBed	38b165615121a11fe4e2e2858136a459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeUwDnaseAG10803.fdr01peaks.hg19.bb
2.9M	DnaseSeq	Peaks	AoAF	UW	GSM736583,GSM736505	wgEncodeEH001161	ENCODE Jan 2011 Freeze	HotSpot	bigBed	e7ac91a2b0f61f19083656ff9b53eb11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeUwDnaseAoAF.fdr01peaks.hg19.bb
2.9M	DnaseSeq	Peaks	BE2_C	UW	GSM736508,GSM736622	wgEncodeEH001181	ENCODE Jan 2011 Freeze	HotSpot	bigBed	14ca5adc4c44cdd8d87e9524c00bf652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeUwDnaseBE2C.fdr01peaks.hg19.bb
2.7M	DnaseSeq	Peaks	BJ	UW	GSM736518,GSM736596	wgEncodeEH000487	ENCODE Jan 2011 Freeze	HotSpot	bigBed	55277495a63744c960a3249c7ccc11a8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeUwDnaseBJ.fdr01peaks.hg19.bb
1.9M	DnaseSeq	Peaks	Caco-2	UW	GSM736500,GSM736587	wgEncodeEH000486	ENCODE Jan 2011 Freeze	HotSpot	bigBed	ddbe1031e4f1d32945850fa5a623cae8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeUwDnaseCaco2.fdr01peaks.hg19.bb
