cell	lab	type	replicate	dataType	rnaExtract	filename
BJ	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqBjCellPapFastqRd2Rep1.fastq.gz
BJ	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqBjCellPapFastqRd2Rep2.fastq.gz
GM12878	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqGm12878CellPapFastqRd1Rep1.fastq.gz
GM12878	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqGm12878CellPapFastqRd1Rep2.fastq.gz
GM12878	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqGm12878CellPapFastqRd2Rep1.fastq.gz
GM12878	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqGm12878CellPapFastqRd2Rep2.fastq.gz
H1-hESC	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCellPapFastqRd1Rep1.fastq.gz
H1-hESC	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCellPapFastqRd1Rep2.fastq.gz
H1-hESC	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCellPapFastqRd2Rep1.fastq.gz
H1-hESC	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCellPapFastqRd2Rep2.fastq.gz
HeLa-S3	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHelas3CellPapFastqRd1Rep1.fastq.gz
HeLa-S3	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHelas3CellPapFastqRd1Rep2.fastq.gz
HeLa-S3	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHelas3CellPapFastqRd2Rep1.fastq.gz
HeLa-S3	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHelas3CellPapFastqRd2Rep2.fastq.gz
HepG2	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHepg2CellPapFastqRd1Rep1.fastq.gz
HepG2	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHepg2CellPapFastqRd1Rep2.fastq.gz
HepG2	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHepg2CellPapFastqRd2Rep1.fastq.gz
HepG2	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHepg2CellPapFastqRd2Rep2.fastq.gz
HMEC	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHmecCellPapFastqRd1Rep1.fastq.gz
HMEC	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHmecCellPapFastqRd2Rep1.fastq.gz
HUVEC	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHuvecCellPapFastqRd1Rep1.fastq.gz
HUVEC	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHuvecCellPapFastqRd1Rep2.fastq.gz
HUVEC	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHuvecCellPapFastqRd2Rep1.fastq.gz
HUVEC	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHuvecCellPapFastqRd2Rep2.fastq.gz
IMR90	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqImr90CellPapFastqRd1Rep1.fastq.gz
IMR90	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqImr90CellPapFastqRd1Rep2.fastq.gz
IMR90	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqImr90CellPapFastqRd2Rep1.fastq.gz
IMR90	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqImr90CellPapFastqRd2Rep2.fastq.gz
K562	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqK562CellPapFastqRd1Rep1.fastq.gz
K562	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqK562CellPapFastqRd1Rep2.fastq.gz
K562	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqK562CellPapFastqRd2Rep1.fastq.gz
K562	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqK562CellPapFastqRd2Rep2.fastq.gz
MCF-7	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqMcf7CellPapFastqRd1Rep1.fastq.gz
MCF-7	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqMcf7CellPapFastqRd1Rep2.fastq.gz
MCF-7	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqMcf7CellPapFastqRd2Rep1.fastq.gz
MCF-7	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqMcf7CellPapFastqRd2Rep2.fastq.gz
NHEK	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqNhekCellPapFastqRd1Rep1.fastq.gz
NHEK	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqNhekCellPapFastqRd1Rep2.fastq.gz
NHEK	CSHL	fastq	5	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqNhekCellPapFastqRd1Rep5.fastq.gz
NHEK	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqNhekCellPapFastqRd2Rep1.fastq.gz
NHEK	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqNhekCellPapFastqRd2Rep2.fastq.gz
NHEK	CSHL	fastq	5	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqNhekCellPapFastqRd2Rep5.fastq.gz
NHLF	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqNhlfCellPapFastqRd1Rep1.fastq.gz
NHLF	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqNhlfCellPapFastqRd1Rep2.fastq.gz
NHLF	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqNhlfCellPapFastqRd2Rep1.fastq.gz
NHLF	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqNhlfCellPapFastqRd2Rep2.fastq.gz
SK-N-SH	CSHL	fastq	3	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqSknshCellPapFastqRd1Rep3.fastq.gz
SK-N-SH	CSHL	fastq	4	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqSknshCellPapFastqRd1Rep4.fastq.gz
SK-N-SH	CSHL	fastq	3	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqSknshCellPapFastqRd2Rep3.fastq.gz
SK-N-SH	CSHL	fastq	4	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqSknshCellPapFastqRd2Rep4.fastq.gz
SK-N-SH_RA	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqSknshraCellPapFastqRd1Rep1.fastq.gz
SK-N-SH_RA	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqSknshraCellPapFastqRd1Rep2.fastq.gz
SK-N-SH_RA	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqSknshraCellPapFastqRd2Rep1.fastq.gz
SK-N-SH_RA	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqSknshraCellPapFastqRd2Rep2.fastq.gz
