project	grant	lab	composite	dataType	view	cell	localization	rnaExtract	readType	replicate	dataVersion	dccAccession	dateSubmitted	dateUnrestricted	subId	geoSampleAccession	labExpId	bioRep	seqPlatform	spikeInPool	tableName	type	md5sum	size	labVersion	submittedDataVersion	labProtocolId	donorId	dateResubmitted	objStatus	sex	wgEncodeCshlLongRnaSeqSknshraCellPapFastqRd2Rep1	dccInternalNotes	filename
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	ExonsGencV7	A549	cell	longNonPolyA	2x76D	NA	ENCODE Mar 2012 Freeze	wgEncodeEH000184	2011-07-13	2012-04-13	4589	GSM767854	LID9005,LID9006	021WC,022WC	Illumina_GA2x	Nist14	NA	gtf	c8199d0058cf3eb9f33231d343d87848	19M	iIDR	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPamExonsGencV7.gtf.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	GeneDeNovo	A549	cell	longNonPolyA	2x76D	NA	ENCODE Jan 2011 Freeze	wgEncodeEH000184	2011-02-18	2011-11-18	3601	GSM767854	LID9005,LID9006	021WC,022WC	Illumina_GA2x	Nist14	NA	gtf	4e7bde376070aa4d486eb62ee372d654	3.5M	iIDR	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPamGeneDeNovo.gtf.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	GeneDeNovo	A549	cell	longNonPolyA	2x76D	NA	ENCODE Jul 2012 Freeze	wgEncodeEH000184	2012-07-16	2013-04-16	7482	GSM767854	LID9005,LID9006	021WC,022WC	Illumina_GA2x	Nist14	NA	gff	f4c09a5bdfc6d5eae3520e0871fca849	5.6M	iIDR	V2 - New version of processing used.	021WC-,022WC-	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPamGeneDeNovoV2.gff.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	GeneGencV7	A549	cell	longNonPolyA	2x76D	NA	ENCODE Mar 2012 Freeze	wgEncodeEH000184	2011-07-13	2012-04-13	4589	GSM767854	LID9005,LID9006	021WC,022WC	Illumina_GA2x	Nist14	NA	gtf	b344ba56b012db6da7524d725ce846d2	2.0M	iIDR	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPamGeneGencV7.gtf.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	Junctions	A549	cell	longNonPolyA	2x76D	NA	ENCODE Jan 2011 Freeze	wgEncodeEH000184	2011-02-18	2011-11-18	3601	GSM767854	LID9005,LID9006	021WC,022WC	Illumina_GA2x	Nist14	wgEncodeCshlLongRnaSeqA549CellPamJunctions	bedRnaElements	5182126a7beec4810657e096465684e3	5.1M	iIDR	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPamJunctions.bedRnaElements.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	Protocol	A549	cell	longNonPolyA	2x76D	1	ENCODE Mar 2012 Freeze	wgEncodeEH000184	2011-06-08	2012-03-08	NA	NA	LID9005	021WC	Illumina_GA2x	Nist14	NA	pdf	9c31282e64375b22af330b882984454f	356K	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPamProtocolRep1.pdf
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	Protocol	A549	cell	longNonPolyA	2x76D	2	ENCODE Mar 2012 Freeze	wgEncodeEH000184	2011-06-08	2012-03-08	NA	NA	LID9006	022WC	Illumina_GA2x	Nist14	NA	pdf	2101ea6b5718a86acb86905e3765f897	357K	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPamProtocolRep2.pdf
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	Spikeins	A549	cell	longNonPolyA	2x76D	1	ENCODE Mar 2012 Freeze	wgEncodeEH000184	2011-06-08	2012-03-08	4258	GSM767854	LID9005	021WC	Illumina_GA2x	Nist14	NA	spikeins	a8f5a36a45995c45f34d92679b3220b1	529M	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPamSpikeinsRep1.spikeins
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	Spikeins	A549	cell	longNonPolyA	2x76D	2	ENCODE Mar 2012 Freeze	wgEncodeEH000184	2011-06-08	2012-03-08	4213	GSM767854	LID9006	022WC	Illumina_GA2x	Nist14	NA	spikeins	5ec24bdf52a1c534bf5630249ff1bf0c	419M	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPamSpikeinsRep2.spikeins
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	TranscriptDeNovo	A549	cell	longNonPolyA	2x76D	NA	ENCODE Jan 2011 Freeze	wgEncodeEH000184	2011-02-18	2011-11-18	3601	GSM767854	LID9005,LID9006	021WC,022WC	Illumina_GA2x	Nist14	NA	gtf	deb4f180cee8a3e9ff7a6319574a899e	18M	iIDR	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPamTranscriptDeNovo.gtf.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	TranscriptDeNovo	A549	cell	longNonPolyA	2x76D	NA	ENCODE Jul 2012 Freeze	wgEncodeEH000184	2012-07-16	2013-04-16	7482	GSM767854	LID9005,LID9006	021WC,022WC	Illumina_GA2x	Nist14	NA	gtf	e929527ba0c4b55f807a6fd677dbd663	6.1M	iIDR	V2 - New version of processing used.	021WC-,022WC-	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPamTranscriptDeNovoV2.gtf.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	TranscriptGencV7	A549	cell	longNonPolyA	2x76D	NA	ENCODE Mar 2012 Freeze	wgEncodeEH000184	2011-07-13	2012-04-13	4589	GSM767854	LID9005,LID9006	021WC,022WC	Illumina_GA2x	Nist14	wgEncodeCshlLongRnaSeqA549CellPamTranscriptGencV7	gtf	8e081541337a72c44a68156ed35d4420	4.8M	iIDR	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPamTranscriptGencV7.gtf.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	Alignments	A549	cell	longPolyA	2x76D	1	ENCODE Jan 2011 Freeze	wgEncodeEH000143	2010-09-29	2011-06-29	2404	GSM758564	LID8963	021WC	Illumina_GA2x	Nist14	wgEncodeCshlLongRnaSeqA549CellPapAlnRep1	bam	6ac70824daafd4d48ca7666a8d7f0f36	12G	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapAlnRep1.bam
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	Alignments	A549	cell	longPolyA	2x76D	1	ENCODE Jan 2011 Freeze	wgEncodeEH000143	2010-09-29	2011-06-29	2404	GSM758564	LID8963	021WC	Illumina_GA2x	Nist14	wgEncodeCshlLongRnaSeqA549CellPapAlnRep1	bai	3976d51809de9a90a2899929905827a0	6.9M	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapAlnRep1.bam.bai
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	Alignments	A549	cell	longPolyA	2x76D	2	ENCODE Jan 2011 Freeze	wgEncodeEH000143	2010-09-29	2011-06-29	2405	GSM758564	LID8964	022WC	Illumina_GA2x	Nist14	wgEncodeCshlLongRnaSeqA549CellPapAlnRep2	bam	b6c1b68f7839a19422b55c586bab4e7d	13G	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapAlnRep2.bam
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	Alignments	A549	cell	longPolyA	2x76D	2	ENCODE Jan 2011 Freeze	wgEncodeEH000143	2010-09-29	2011-06-29	2405	GSM758564	LID8964	022WC	Illumina_GA2x	Nist14	wgEncodeCshlLongRnaSeqA549CellPapAlnRep2	bai	a3e4d22810234d83d56ad5a1e3954f75	7.3M	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapAlnRep2.bam.bai
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	Contigs	A549	cell	longPolyA	2x76D	NA	ENCODE Mar 2012 Freeze	wgEncodeEH000143	2011-02-18	2011-11-18	3602	GSM758564	LID8963,LID8964	021WC,022WC	Illumina_GA2x	Nist14	wgEncodeCshlLongRnaSeqA549CellPapContigs	bedRnaElements	04ed6fd4e425f94df02e1d287c5bcb81	14M	iIDR	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapContigs.bedRnaElements.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	ExonsDeNovo	A549	cell	longPolyA	2x76D	NA	ENCODE Jul 2012 Freeze	wgEncodeEH000143	2012-05-30	2013-03-02	6991	GSM758564	LID8963,LID8964	021WC,022WC	Illumina_GA2x	Nist14	NA	gff	b9aaf8118fcbd654cf530a7b4f73bbd5	7.2M	iIDR	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapExonsDeNovo.gff.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	ExonsGencV7	A549	cell	longPolyA	2x76D	NA	ENCODE Mar 2012 Freeze	wgEncodeEH000143	2011-07-13	2012-04-13	4549	GSM758564	LID8963,LID8964	021WC,022WC	Illumina_GA2x	Nist14	NA	gtf	03c19397f58f1bf0552ee4c5e14d54e5	19M	iIDR	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapExonsGencV7.gtf.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	FastqRd1	A549	cell	longPolyA	2x76D	1	ENCODE Jan 2011 Freeze	wgEncodeEH000143	2010-09-29	2011-06-29	2404	GSM758564	LID8963	021WC	Illumina_GA2x	Nist14	NA	fastq	76e72210d1b9addbd0e093b07122b639	6.8G	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapFastqRd1Rep1.fastq.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	FastqRd1	A549	cell	longPolyA	2x76D	2	ENCODE Jan 2011 Freeze	wgEncodeEH000143	2010-09-29	2011-06-29	2405	GSM758564	LID8964	022WC	Illumina_GA2x	Nist14	NA	fastq	ce7d690dd6a5e21356474899631b7c77	7.7G	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapFastqRd1Rep2.fastq.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	FastqRd2	A549	cell	longPolyA	2x76D	1	ENCODE Jan 2011 Freeze	wgEncodeEH000143	2010-09-29	2011-06-29	2404	GSM758564	LID8963	021WC	Illumina_GA2x	Nist14	NA	fastq	7cf599f8b4deb26f9e6a22d0ee64446f	6.7G	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapFastqRd2Rep1.fastq.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	FastqRd2	A549	cell	longPolyA	2x76D	2	ENCODE Jan 2011 Freeze	wgEncodeEH000143	2010-09-29	2011-06-29	2405	GSM758564	LID8964	022WC	Illumina_GA2x	Nist14	NA	fastq	8083aefd023bb7bb188c90415303921c	7.8G	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapFastqRd2Rep2.fastq.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	GeneDeNovo	A549	cell	longPolyA	2x76D	NA	ENCODE Mar 2012 Freeze	wgEncodeEH000143	2011-02-18	2011-11-18	3602	GSM758564	LID8963,LID8964	021WC,022WC	Illumina_GA2x	Nist14	NA	gtf	9a1aba565ec3e4f3ff4b0edb85bf1d44	1.5M	iIDR	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapGeneDeNovo.gtf.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	GeneDeNovo	A549	cell	longPolyA	2x76D	NA	ENCODE Jul 2012 Freeze	wgEncodeEH000143	2012-07-16	2013-04-16	7441	GSM758564	LID8963,LID8964	021WC,022WC	Illumina_GA2x	Nist14	NA	gff	9920dd2eed55143bd1b759af41b5ed1f	1.6M	iIDR	V2 - New version of processing used.	021WC+,022WC+	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapGeneDeNovoV2.gff.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	GeneGencV7	A549	cell	longPolyA	2x76D	NA	ENCODE Mar 2012 Freeze	wgEncodeEH000143	2011-07-13	2012-04-13	4549	GSM758564	LID8963,LID8964	021WC,022WC	Illumina_GA2x	Nist14	NA	gtf	faba02704bf1a5ada5dc9ca01e722a88	2.1M	iIDR	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapGeneGencV7.gtf.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	Junctions	A549	cell	longPolyA	2x76D	NA	ENCODE Mar 2012 Freeze	wgEncodeEH000143	2011-02-18	2011-11-18	3602	GSM758564	LID8963,LID8964	021WC,022WC	Illumina_GA2x	Nist14	wgEncodeCshlLongRnaSeqA549CellPapJunctions	bedRnaElements	84eb11cffb3b0c9c90ef3089047b38d3	11M	iIDR	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapJunctions.bedRnaElements.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	MinusSignal	A549	cell	longPolyA	2x76D	1	ENCODE Jan 2011 Freeze	wgEncodeEH000143	2010-09-29	2011-06-29	2404	GSM758564	LID8963	021WC	Illumina_GA2x	Nist14	wgEncodeCshlLongRnaSeqA549CellPapMinusRawSigRep1	bigWig	16e2e0315b427257095cd941c0b0dd0b	659M	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapMinusRawSigRep1.bigWig
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	MinusSignal	A549	cell	longPolyA	2x76D	2	ENCODE Jan 2011 Freeze	wgEncodeEH000143	2010-09-29	2011-06-29	2405	GSM758564	LID8964	022WC	Illumina_GA2x	Nist14	wgEncodeCshlLongRnaSeqA549CellPapMinusRawSigRep2	bigWig	b1aa909c2a71ac9ac5a87c9cc555c527	717M	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapMinusRawSigRep2.bigWig
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	PlusSignal	A549	cell	longPolyA	2x76D	1	ENCODE Jan 2011 Freeze	wgEncodeEH000143	2010-09-29	2011-06-29	2404	GSM758564	LID8963	021WC	Illumina_GA2x	Nist14	wgEncodeCshlLongRnaSeqA549CellPapPlusRawSigRep1	bigWig	3462180fab45dfd6a1046ecaa622a93f	677M	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapPlusRawSigRep1.bigWig
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	PlusSignal	A549	cell	longPolyA	2x76D	2	ENCODE Jan 2011 Freeze	wgEncodeEH000143	2010-09-29	2011-06-29	2405	GSM758564	LID8964	022WC	Illumina_GA2x	Nist14	wgEncodeCshlLongRnaSeqA549CellPapPlusRawSigRep2	bigWig	18000971b8ad4bf2a4867e7e4f887180	735M	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapPlusRawSigRep2.bigWig
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	Protocol	A549	cell	longPolyA	2x76D	1	ENCODE Mar 2012 Freeze	wgEncodeEH000143	2011-04-20	2012-01-20	3259	GSM758564	LID8963	021WC	Illumina_GA2x	Nist14	NA	pdf	d88214daf2f649539d70456dccf07399	625K	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapProtocolRep1.pdf.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	Protocol	A549	cell	longPolyA	2x76D	2	ENCODE Mar 2012 Freeze	wgEncodeEH000143	2011-04-20	2012-01-20	3259	GSM758564	LID8964	022WC	Illumina_GA2x	Nist14	NA	pdf	d71d2631aa980f5e56a3307b436f0fe0	643K	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapProtocolRep2.pdf.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	Spikeins	A549	cell	longPolyA	2x76D	1	ENCODE Mar 2012 Freeze	wgEncodeEH000143	2011-06-08	2012-03-08	4191	GSM758564	LID8963	021WC	Illumina_GA2x	Nist14	NA	spikeins	2046eed83e54b4923fe30b0d0a946301	81M	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapSpikeinsRep1.spikeins
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	Spikeins	A549	cell	longPolyA	2x76D	2	ENCODE Mar 2012 Freeze	wgEncodeEH000143	2011-06-08	2012-03-08	4188	GSM758564	LID8964	022WC	Illumina_GA2x	Nist14	NA	spikeins	ace88a9f47c6b88af8272b6ace037cd0	77M	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapSpikeinsRep2.spikeins
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	TranscriptDeNovo	A549	cell	longPolyA	2x76D	NA	ENCODE Mar 2012 Freeze	wgEncodeEH000143	2011-02-18	2011-11-18	3602	GSM758564	LID8963,LID8964	021WC,022WC	Illumina_GA2x	Nist14	NA	gtf	db1b68ce4663864898a3a54130267ae7	17M	iIDR	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapTranscriptDeNovo.gtf.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	TranscriptDeNovo	A549	cell	longPolyA	2x76D	NA	ENCODE Jul 2012 Freeze	wgEncodeEH000143	2012-07-16	2013-04-16	7441	GSM758564	LID8963,LID8964	021WC,022WC	Illumina_GA2x	Nist14	NA	gtf	c5fb115df99508018acded13ca5c886f	2.1M	iIDR	V2 - New version of processing used.	021WC+,022WC+	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPapTranscriptDeNovoV2.gtf.gz
