project	grant	lab	composite	dataType	view	cell	treatment	antibody	control	replicate	dataVersion	dccAccession	dateSubmitted	dateUnrestricted	subId	setType	controlId	type	md5sum	size	geoSampleAccession	labVersion	tableName	origAssembly	dateResubmitted	objStatus	submittedDataVersion	softwareVersion	filename
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	CTCF_(SC-15914)	IgG-rab	1	ENCODE Jul 2012 Freeze	wgEncodeEH003384	2012-08-01	2013-05-01	7842	exp	wgEncodeEH002819	bai	761828d94b06447146b8a63a7ae122ec	6.1M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CtcfbIggrabAlnRep1.bam.bai
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	CTCF_(SC-15914)	IgG-rab	2	ENCODE Jul 2012 Freeze	wgEncodeEH003384	2012-08-01	2013-05-01	7842	exp	wgEncodeEH002819	bam	940248bbc40bfd37a970e768c821dba1	1.2G	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CtcfbIggrabAlnRep2.bam
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	CTCF_(SC-15914)	IgG-rab	2	ENCODE Jul 2012 Freeze	wgEncodeEH003384	2012-08-01	2013-05-01	7842	exp	wgEncodeEH002819	bai	9351c0d26f588a7fd7919972a600a766	6.2M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CtcfbIggrabAlnRep2.bam.bai
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Peaks	A549	None	CTCF_(SC-15914)	IgG-rab	NA	ENCODE Jul 2012 Freeze	wgEncodeEH003384	2012-08-01	2013-05-01	7842	exp	wgEncodeEH002819	narrowPeak	7264cd2dd1a9f716bb4536e89a539c21	720K	GSM1003606	NA	wgEncodeSydhTfbsA549CtcfbIggrabPk	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CtcfbIggrabPk.narrowPeak.gz
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	RawData	A549	None	CTCF_(SC-15914)	IgG-rab	1	ENCODE Jul 2012 Freeze	wgEncodeEH003384	2012-08-01	2013-05-01	7842	exp	wgEncodeEH002819	fastq	8ac0c00061ec13f8bfa27e40714a4c48	1002M	GSM1003606	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CtcfbIggrabRawDataRep1.fastq.tgz
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	RawData	A549	None	CTCF_(SC-15914)	IgG-rab	2	ENCODE Jul 2012 Freeze	wgEncodeEH003384	2012-08-01	2013-05-01	7842	exp	wgEncodeEH002819	fastq	d09c70ae818a9c9a489930a90e635196	892M	GSM1003606	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CtcfbIggrabRawDataRep2.fastq.tgz
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Signal	A549	None	CTCF_(SC-15914)	IgG-rab	NA	ENCODE Jul 2012 Freeze	wgEncodeEH003384	2012-08-01	2013-05-01	7842	exp	wgEncodeEH002819	bigWig	6135077ab72216c596cd3f18e5724e1d	595M	GSM1003606	NA	wgEncodeSydhTfbsA549CtcfbIggrabSig	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CtcfbIggrabSig.bigWig
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	Input	IgG-rab	1	ENCODE Mar 2012 Freeze	wgEncodeEH002819	2012-02-04	2012-11-03	5538	input	wgEncodeEH002819	bam	e3c1b8fa9b83cb181082decea3ed5c4d	960M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549InputIggrabAlnRep1.bam
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	Input	IgG-rab	1	ENCODE Mar 2012 Freeze	wgEncodeEH002819	2012-02-04	2012-11-03	5538	input	wgEncodeEH002819	bai	6077345a456f77a88933baebe1d7b7be	6.3M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549InputIggrabAlnRep1.bam.bai
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	RawData	A549	None	Input	IgG-rab	1	ENCODE Mar 2012 Freeze	wgEncodeEH002819	2012-02-04	2012-11-03	5538	input	wgEncodeEH002819	fastq	e185074fc3dab0faa758473663f956f4	1.8G	GSM935629	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549InputIggrabRawDataRep1.fastq.tgz
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Signal	A549	None	Input	IgG-rab	NA	ENCODE Mar 2012 Freeze	wgEncodeEH002819	2012-02-04	2012-11-03	5538	input	wgEncodeEH002819	bigWig	11e22d2810dc38cb1c9dcd5c65968731	361M	GSM935629	PeakSeq1.0	wgEncodeSydhTfbsA549InputIggrabSig	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549InputIggrabSig.bigWig
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	Max	IgG-rab	1	ENCODE Mar 2012 Freeze	wgEncodeEH002820	2012-02-04	2012-11-03	5540	exp	wgEncodeEH002819	bam	38c1fad3fedb3a91a9b1c791ef2d4945	634M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549MaxIggrabAlnRep1.bam
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	Max	IgG-rab	1	ENCODE Mar 2012 Freeze	wgEncodeEH002820	2012-02-04	2012-11-03	5540	exp	wgEncodeEH002819	bai	e85ea4bdd2b4a1c4cad991a7abcc03e1	6.1M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549MaxIggrabAlnRep1.bam.bai
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	Max	IgG-rab	2	ENCODE Mar 2012 Freeze	wgEncodeEH002820	2012-02-04	2012-11-03	5540	exp	wgEncodeEH002819	bam	3eef616b705cd5e945206ea39d1c356c	554M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549MaxIggrabAlnRep2.bam
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	Max	IgG-rab	2	ENCODE Mar 2012 Freeze	wgEncodeEH002820	2012-02-04	2012-11-03	5540	exp	wgEncodeEH002819	bai	c6cdff0db299d5bd9dc63a34f015a702	6.0M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549MaxIggrabAlnRep2.bam.bai
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Peaks	A549	None	Max	IgG-rab	NA	ENCODE Mar 2012 Freeze	wgEncodeEH002820	2012-02-04	2012-11-03	5540	exp	wgEncodeEH002819	narrowPeak	d3c9ce580678dd18f9ee324f28a600aa	427K	GSM935298	PeakSeq1.0	wgEncodeSydhTfbsA549MaxIggrabPk	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549MaxIggrabPk.narrowPeak.gz
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	RawData	A549	None	Max	IgG-rab	1	ENCODE Mar 2012 Freeze	wgEncodeEH002820	2012-02-04	2012-11-03	5540	exp	wgEncodeEH002819	fastq	27e54bd69d7d4f2f3cf194dd7698a3b9	1.2G	GSM935298	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549MaxIggrabRawDataRep1.fastq.tgz
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	RawData	A549	None	Max	IgG-rab	2	ENCODE Mar 2012 Freeze	wgEncodeEH002820	2012-02-04	2012-11-03	5540	exp	wgEncodeEH002819	fastq	a9227848d97137f7b936a787703a879a	982M	GSM935298	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549MaxIggrabRawDataRep2.fastq.tgz
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Signal	A549	None	Max	IgG-rab	NA	ENCODE Mar 2012 Freeze	wgEncodeEH002820	2012-02-04	2012-11-03	5540	exp	wgEncodeEH002819	bigWig	d41163d445deac47b48f84cd7daf3ae2	418M	GSM935298	PeakSeq1.0	wgEncodeSydhTfbsA549MaxIggrabSig	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549MaxIggrabSig.bigWig
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	Pol2(phosphoS2)	IgG-rab	1	ENCODE Mar 2012 Freeze	wgEncodeEH002821	2012-02-04	2012-11-03	5541	exp	wgEncodeEH002819	bam	eca9c3873dc788544f1db29e1f39e7c6	595M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Pol2s2IggrabAlnRep1.bam
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	Pol2(phosphoS2)	IgG-rab	1	ENCODE Mar 2012 Freeze	wgEncodeEH002821	2012-02-04	2012-11-03	5541	exp	wgEncodeEH002819	bai	7fe3a528962f97cd19317ce2570e2c5b	6.1M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Pol2s2IggrabAlnRep1.bam.bai
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	Pol2(phosphoS2)	IgG-rab	2	ENCODE Mar 2012 Freeze	wgEncodeEH002821	2012-02-04	2012-11-03	5541	exp	wgEncodeEH002819	bam	288fc1656ab0b5424593b5e6dd9b486f	561M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Pol2s2IggrabAlnRep2.bam
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	Pol2(phosphoS2)	IgG-rab	2	ENCODE Mar 2012 Freeze	wgEncodeEH002821	2012-02-04	2012-11-03	5541	exp	wgEncodeEH002819	bai	0ecc0b2b22b07833600a63b2861e7746	6.0M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Pol2s2IggrabAlnRep2.bam.bai
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Peaks	A549	None	Pol2(phosphoS2)	IgG-rab	NA	ENCODE Mar 2012 Freeze	wgEncodeEH002821	2012-02-04	2012-11-03	5541	exp	wgEncodeEH002819	narrowPeak	73592637ff673ddcca3c450b998997ce	515K	GSM935299	PeakSeq1.0	wgEncodeSydhTfbsA549Pol2s2IggrabPk	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Pol2s2IggrabPk.narrowPeak.gz
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	RawData	A549	None	Pol2(phosphoS2)	IgG-rab	1	ENCODE Mar 2012 Freeze	wgEncodeEH002821	2012-02-04	2012-11-03	5541	exp	wgEncodeEH002819	fastq	55baa286308e304a5d5d44b8fb6bb0f2	1.1G	GSM935299	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Pol2s2IggrabRawDataRep1.fastq.tgz
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	RawData	A549	None	Pol2(phosphoS2)	IgG-rab	2	ENCODE Mar 2012 Freeze	wgEncodeEH002821	2012-02-04	2012-11-03	5541	exp	wgEncodeEH002819	fastq	512667475ca711b57d0e07227c7388bd	996M	GSM935299	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Pol2s2IggrabRawDataRep2.fastq.tgz
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Signal	A549	None	Pol2(phosphoS2)	IgG-rab	NA	ENCODE Mar 2012 Freeze	wgEncodeEH002821	2012-02-04	2012-11-03	5541	exp	wgEncodeEH002819	bigWig	d912dafda596576ebe54146c24eaf24d	408M	GSM935299	PeakSeq1.0	wgEncodeSydhTfbsA549Pol2s2IggrabSig	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Pol2s2IggrabSig.bigWig
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	Rad21	IgG-rab	1	ENCODE Mar 2012 Freeze	wgEncodeEH002822	2012-02-04	2012-11-03	5542	exp	wgEncodeEH002819	bam	3e6940de775b1d9636899e7c17e06e09	605M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Rad21IggrabAlnRep1.bam
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	Rad21	IgG-rab	1	ENCODE Mar 2012 Freeze	wgEncodeEH002822	2012-02-04	2012-11-03	5542	exp	wgEncodeEH002819	bai	5a60e9f3c8f639adce698aa302c7dbdc	6.1M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Rad21IggrabAlnRep1.bam.bai
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	Rad21	IgG-rab	2	ENCODE Mar 2012 Freeze	wgEncodeEH002822	2012-02-04	2012-11-03	5542	exp	wgEncodeEH002819	bam	f8f070f0eaa1d46c11a323eb3a34cdcb	582M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Rad21IggrabAlnRep2.bam
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	Rad21	IgG-rab	2	ENCODE Mar 2012 Freeze	wgEncodeEH002822	2012-02-04	2012-11-03	5542	exp	wgEncodeEH002819	bai	ca0d13fc448def225050a6a47c176530	6.1M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Rad21IggrabAlnRep2.bam.bai
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Peaks	A549	None	Rad21	IgG-rab	NA	ENCODE Mar 2012 Freeze	wgEncodeEH002822	2012-02-04	2012-11-03	5542	exp	wgEncodeEH002819	narrowPeak	44c2e53cbe9efb147cd2bba28129e945	607K	GSM935300	PeakSeq1.0	wgEncodeSydhTfbsA549Rad21IggrabPk	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Rad21IggrabPk.narrowPeak.gz
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	RawData	A549	None	Rad21	IgG-rab	1	ENCODE Mar 2012 Freeze	wgEncodeEH002822	2012-02-04	2012-11-03	5542	exp	wgEncodeEH002819	fastq	b2dfff54c589e346055cb8f4a53f792d	1.1G	GSM935300	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Rad21IggrabRawDataRep1.fastq.tgz
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	RawData	A549	None	Rad21	IgG-rab	2	ENCODE Mar 2012 Freeze	wgEncodeEH002822	2012-02-04	2012-11-03	5542	exp	wgEncodeEH002819	fastq	608acf1b80cd61fa1d3fc4e1b275d8b6	1.1G	GSM935300	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Rad21IggrabRawDataRep2.fastq.tgz
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Signal	A549	None	Rad21	IgG-rab	NA	ENCODE Mar 2012 Freeze	wgEncodeEH002822	2012-02-04	2012-11-03	5542	exp	wgEncodeEH002819	bigWig	a9fad45e1334e24dd23744ef7babd167	419M	GSM935300	PeakSeq1.0	wgEncodeSydhTfbsA549Rad21IggrabSig	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Rad21IggrabSig.bigWig
wgEncode	Snyder	USC	wgEncodeSydhTfbs	ChipSeq	Alignments	GM08714	None	Input	UCDavis	1	ENCODE Jul 2012 Freeze	wgEncodeEH002870	2012-04-19	2013-01-19	6818	input	wgEncodeEH002870	bam	5ae0ac0cd396f7e0d8f316ddf593e267	877M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsGm08714InputUcdAlnRep1.bam
wgEncode	Snyder	USC	wgEncodeSydhTfbs	ChipSeq	Alignments	GM08714	None	Input	UCDavis	1	ENCODE Jul 2012 Freeze	wgEncodeEH002870	2012-04-19	2013-01-19	6818	input	wgEncodeEH002870	bai	a450b648575256d354f6f50b5a762678	6.2M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsGm08714InputUcdAlnRep1.bam.bai
